pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
Gl 410 b,Gl 410,2025,2.83,6.02,0.0531,592.44,0.0,3842.0,0.543,0.55,1,1,Radial Velocity,8.4
Gl 686 b,Gl 686,2018,2.46,15.53,0.091,379.0,0.05,3656.0,0.427,0.426,1,1,Radial Velocity,6.624
Gl 725 A b,Gl 725 A,2025,1.48,11.2201,0.068,376.1,0.0,3433.0,0.351,0.33,2,2,Radial Velocity,2.78
Gl 725 B c,Gl 725 B,2026,1.66,37.9,0.139,215.0,0.0,3379.0,0.28,0.25,2,2,Radial Velocity,3.4
Gliese 48 b,Gliese 48,2026,2.77,39.6299,0.1752,271.0,0.0,3450.0,0.463,0.47,1,1,Radial Velocity,8.11
HAT-P-11 b,HAT-P-11,2010,4.36,4.888,0.05258,838.0,0.251,4653.0,0.683,0.811,1,2,Transit,25.0
HAT-P-12 b,HAT-P-12,2009,10.749,3.2130598,0.0384,963.0,0.0,4650.0,0.701,0.733,1,1,Transit,67.059
HAT-P-13 b,HAT-P-13,2009,14.258,2.91625,0.04383,1740.0,0.0133,5653.0,1.756,1.32,1,2,Transit,270.462
HAT-P-14 b,HAT-P-14,2010,15.91678,4.62767,0.0596,1624.0,0.11,6600.0,1.82,2.65,2,1,Transit,1093.3352
HAT-P-15 b,HAT-P-15,2010,11.88154,10.8635,0.0965,904.0,0.19,5568.0,1.07,1.0,1,1,Transit,616.5902
HAT-P-17 b,HAT-P-17,2012,11.76945,10.33852,0.0892,800.0,0.35,5246.0,0.87,0.99,1,2,Transit,184.3414
HAT-P-19 b,HAT-P-19,2010,11.29865255,4.00878322,0.04599,981.2,0.07,4962.0,0.773,0.807,1,1,Transit,88.03846874
HAT-P-2 b,HAT-P-2,2007,10.659759,5.6335158,0.06814,1540.0,0.5172,6380.0,1.39,1.33,1,2,Transit,2866.81223114
HAT-P-2 c,HAT-P-2,2023,12.4,8500.0,0.099815,751.0,0.37,6412.0,1.416,1.33,1,2,Radial Velocity,3400.7639549
HAT-P-21 b,HAT-P-21,2010,12.44199,4.12448,0.05037,1367.0,0.23,5588.0,1.21,1.24,1,1,Transit,1547.8321
