pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,sy_snum,sy_pnum
"HD 9446 c","HD 9446","Radial Velocity",2009,578.42600000,13.40000000,192.90000000000,0.6540000000,0.060000,345.42,5793.00,1.000000,1.000000,1,2
"MASCARA-4 b","MASCARA-4","Transit",2020,532.36258173,16.98160576,2.82409320000,0.0474000000,0.000000,2250.00,7800.00,1.790000,1.750000,2,1
"Kepler-1846 b","Kepler-1846","Transit",2021,3.76000000,1.76378826,14.82009983000,0.1105400000,0.000000,552.00,4825.00,0.732000,0.785000,1,1
"HD 147873 b","HD 147873","Radial Velocity",2016,1633.64620000,12.80000000,116.59600000000,0.5220000000,0.207000,603.16,5972.00,2.290000,1.380000,2,2
"Kepler-224 e","Kepler-224","Transit",2014,4.54000000,1.97000000,18.64357700000,0.1240000000,0.000000,517.00,5018.00,0.676000,0.777000,1,4
"Kepler-1670 b","Kepler-1670","Transit",2020,11.20000000,3.35648010,20.49980000000,0.1528000000,0.000000,731.00,5838.00,1.518890,1.050000,1,1
"Kepler-92 c","Kepler-92","Transit",2013,6.10000000,2.60000000,26.72300000000,0.1905400000,0.040000,781.00,5883.00,1.700000,1.210000,1,3
"Kepler-1799 b","Kepler-1799","Transit",2021,15.90000000,4.12801189,11.92969990000,0.1028000000,0.000000,770.00,5831.00,0.921000,1.016000,1,1
"KMT-2021-BLG-0736L b","KMT-2021-BLG-0736L","Microlensing",2025,21.00000000,4.86000000,,4.0000000000,,,,,0.600000,1,1
"PSR B1620-26 b","PSR B1620-26","Pulsar Timing",2003,794.57500000,13.30000000,,23.0000000000,,,,,1.350000,2,1
"TYC 8998-760-1 b","TYC 8998-760-1","Imaging",2020,6928.65927260,21.18497352,,146.0000000000,0.440000,2638.00,4573.00,1.020000,1.000000,1,2
"OGLE-2017-BLG-1434L b","OGLE-2017-BLG-1434L","Microlensing",2018,4.43000000,1.94000000,,1.1800000000,,,,,0.234000,1,1
"KMT-2019-BLG-2783L b","KMT-2019-BLG-2783L","Microlensing",2023,368.68095212,13.70000000,,1.8500000000,,,,,0.340000,1,1
"OGLE-2016-BLG-1093L b","OGLE-2016-BLG-1093L","Microlensing",2022,225.65816897,14.00000000,,2.1300000000,,,,,0.460000,1,1
"MOA-2010-BLG-117L b","MOA-2010-BLG-117L","Microlensing",2018,170.00000000,14.20000000,,2.4200000000,,,,,0.580000,1,1
"OGLE-2006-BLG-109L b","OGLE-2006-BLG-109L","Microlensing",2008,231.00000000,14.00000000,1788.50000000000,2.3000000000,,82.00,,,0.510000,1,2
"OGLE-2012-BLG-0406L b","OGLE-2012-BLG-0406L","Microlensing",2013,868.00000000,13.20000000,,3.4500000000,,,,,0.440000,1,1
"Kepler-1265 b","Kepler-1265","Transit",2016,2.39000000,1.35000000,6.49441289000,0.0612000000,0.000000,732.00,4630.00,0.690000,0.710000,1,1
"HD 332231 b","HD 332231","Transit",2020,74.10000000,9.07303305,18.71202400000,0.1450000000,0.000000,798.30,6128.00,1.266000,1.164200,1,1
"HD 233604 b","HD 233604","Radial Velocity",2013,2089.64400000,12.70000000,192.00000000000,0.7470000000,0.050000,882.50,4791.00,10.900000,1.500000,1,1
"Kepler-1591 b","Kepler-1591","Transit",2016,2.15000000,1.27000000,8.18504949000,0.0794000000,0.000000,892.00,6082.00,1.160000,1.100000,1,1
"HD 22532 b","HD 22532","Radial Velocity",2022,673.79622284,13.40000000,872.60000000000,1.9000000000,0.030000,420.41,5038.00,5.690000,1.570000,1,1
"TOI-7189 b","TOI-7189","Transit",2026,159.04000000,10.90000000,2.89055000000,0.0329400000,0.060100,738.00,3775.00,0.591000,0.612000,1,1
"TOI-7265 B b","TOI-7265 B","Transit",2026,224.95000000,10.70000000,4.17232000000,0.0400700000,0.037200,571.00,3503.00,0.497000,0.521000,2,1
"KMT-2021-BLG-0322L b","KMT-2021-BLG-0322L","Microlensing",2021,2034.10180480,12.70000000,,,,,,,0.620000,2,1
"MOA-2016-BLG-526L b","MOA-2016-BLG-526L","Microlensing",2024,14.93793513,3.97000000,,2.0700000000,,,,,0.370000,1,1
"TOI-6695 c","TOI-6695","Radial Velocity",2025,460.85119015,13.60000000,242.40000000000,0.8380000000,0.022000,415.00,6400.00,1.517000,1.338000,1,2
